Sentences,Explicit Bias,Implicit Bias,Emotional Intensity,Irony
致命游戏好歹毒的演技什么叫刻意卖腐，人家演的是同性恋，不搞基搞什么你们是不是精分,1,1,1,0
同性恋乐评家又闹笑话啦,0,1,1,1
突然刷到很有同感hhh“想起来之前戴锦华老师说的她认识的一个很有威望的男性学者说解决男人找不到老婆的办法就鼓励这些男人搞同性恋”,0,1,1,0
我爱豆是同性恋还是异性恋取决于我磕啥cp,0,0,1,0
支持同性恋早日合法,0,0,0,0
？？？？死同性恋滚啊啊啊！！！,1,1,1,0
每天意淫漂亮女明星是同性恋是我有病但是这世界就不能让我高兴一会儿？？？？？,1,0,1,1
本来我在性取向问题上的知识储备只限于同性恋异性恋双性恋无性恋，现在lgbt知识已经通过一种很卑鄙的方式潜移默化进入我的大脑,1,0,1,1
其实军比谈起恋爱的样子奇萌无比简直是网络少萝的具象代表，帮人家打1v1练英雄熟练度，自己单方面库库送花送到十级，花一万多约的头像对象不肯陪着用只能和自己的小号搞一套情侣搭配。下辈子当个同性恋好好发挥一下上海富二代的地理位置和种族优势好吗。微博正文,0,1,1,0
NickOfferman在第届独立精神奖凭借最后生还者获得最佳新剧男配角！他在发表感言时说：“当恐同者对我说你们为什么非要把它写成一个同性恋的故事？我们说，就是因为你问了这样的问题，这不是同性恋故事，这是爱情故事，你个傻逼。好骂！,0,0,1,0
知道同性恋都这样但看到他像清华姐给妈妈买艾滋红手机一样哭诉自己的付出就有点想笑,0,1,1,1
tbg人设崩的太彻底了那些丑造型和怪音乐，明里暗里搞，以前能用LGBT表率和特立独行的艺术母0来解释昨天整这一出，直接祛魅变成矮肥丑普男，丑造型和怪音乐没有滤镜加持后就是丑和难听一边擦边LGBT，一边还老牛吃嫩草，tbg真是牛飞了同事承认自己是好色大叔，都没卖爱世界爱粉丝的人设，去年爆出恋情被骂几个月。今年tbg这么双标，没人骂全是祝福？离谱在他泥塑的敏感脆弱、大爱无疆仙女人设里出不来了是吧，习惯性心疼是吧，tbg又牛飞了,1,1,1,1
南宫哥你绝对同性恋啊怪物了都（捂嘴哭,1,1,1,0
新年第二天，被介绍相亲对象了又气又害怕，草，人还没见到，我已经感觉被精神伤害了。我嗑BG的CP，但很恐惧现实的Boy，Boy在二次元，文字里和变成完美人设的star才是最好的。我以后说我是同性恋是不是可以躲避一切催婚了，但我可能会被老一辈带入看心理医生,0,0,1,0
地下同性恋组织没跑了）,0,1,1,1
奇葩说是一款充满着神经病和同性恋的节目。。。我喜欢。。。。。,1,1,1,0
未来社会一定是男女各自独立的，男女人人都能自由全面发展，解脱掉人的社会属性，发挥人的自由属性。家庭演变为个体化单位，庞大的家族体系也很难维系，传统婚姻模式也将逐渐瓦解。同性恋结婚被认可，婚恋会发展为新形态，但婚姻不会消失。,0,0,0,0
我这辈子最恨的就是同性恋因为同性恋不符合大自然的生长定律扰乱了社会秩序影响人类高质量健康发展我这边的建议是同性恋每天喝一杯中药进行长期的调理非必要不外出避免惊吓到别人造成社会损失不准出现在异性恋的眼前因为你们应该躲在地沟里阴暗的生活最后我想说的是异性恋你们都死了。,1,1,1,0
马上就要感觉异性恋比同性恋好磕了。感恩磊子麦麦存子林一蕾子小胡。,0,0,1,0
vx视频号里的铁蹄怎么有这么多人舔。我该治治你们的同性恋了。。。。,1,1,1,0
关于未知的我们这部剧的原著叫《大哥》，故事的核心就是讲大哥，如果把大哥从小拉扯弟弟妹妹的情节一笔带过的话，就是砍掉了故事内核，只有皮没有骨，故事就很难立得住。缺少了相濡以沫的情节，怎么解释魏之远对大哥从亲情到爱情的转变，怎么解释大哥明明不是同性恋最后却接受魏之远的原因。总之没看过原著的可以一看，原著党撤退这里不是家,0,0,0,0
今天望可以玩四i，女总裁和她的乖乖小狗男朋友，可惜我女长了个几把他们只能搞同性恋,1,1,1,0
翻出来官方出的前cp对戒快要哭了，死同性恋，有本事卖腐为什么不出续作,1,0,1,0
笑疯了，刚才财务在我旁边问你也喜欢王一博啊，他不是同性恋和肖战是一对吗？我说啊？啊？啊？你怎么知道然后她又问我是不是啊到底，她的好姐妹们都喜欢博君一肖。粉丝好多啊，我说确实目前已知四百多万。我说咱们玐真的无处不在,0,0,1,0
投稿对于支持lgbt反对歧视男同，不支持二次三次同性恋切割，但又对百合作品有着极端的洁癖意识的百合党怎么看待？这里的洁癖意识指看到作品沾直男立即避雷，辱女或男凝作品立即避雷（比如憧魔），也极端反对变百（男变女与女主谈恋爱），因为他们认为变百本质沾男是直男自我代入的作品。其中以前关于变百mft还和百合会的人吵过，感觉变百本质沾男这一观点是很伤到女跨性别同性恋的群体的，我个人也是比较喜欢变百中的跨性别意识，特别是跨女主在性别之间的挣扎感（更别说现在变身百合小说吧也开始向洁癖发展了，在他们那里也主要看中百合而不是变身了）。当然他们的意识形态肯定与晋百小说测不同的，具体倾向看反百合控吧（百合吧是他们主吧）。690,0,0,1,0
……突然想起其实这个剧情概括一下也可以叫【同性恋不能回家过年所以除夕零点钟声在电话里流泪异地恋】,0,0,0,0
许凯报警写给在这个词条麻虾的王八肖战被王八这个群体沾上才倒了八辈子的霉。天天造谣磕糖，造谣直男卖腐。这么喜欢磕那就祝你全家都是同性恋CP粉天天出来惹事生非但凡微博评论都非要表明自己黄色属性满脑子除了黄色物料啥都没有。天天假料屋造谣底层当成真糖磕。无论商务还官方活动都要造谣正主卖腐。这也叫在自己的圈子还有抖但凡你去刷到俩家直播间虾都在安利正主不许提别家，马桶却直播造谣骂肖战和虾。王八直播造谣骂虾。一群恶心下作的玩意。,1,1,1,0
冷静下来想想就算是笑嘻嘻居然初中高中还在玩贴吧吗我玩贴吧玩到初中就不玩了初中那会哪有什么同性恋异性恋啊！,0,0,1,0
终于出太阳了。阳光下，雪地里，树的影子如五线谱。雪地里的红梅大都开到荼蘼，偶尔发现一棵含苞待放着的。阳光洒在阳台上，百万小玲顿时鲜活起来。暂时追完了日剧《爱做饭的女人和爱吃饭的女人》，虽是女性同性恋的主题，但拍得很温馨，以美食为纽带贯穿其中，表达了友情、爱情和亲情等，是治愈的。接下来准备把纪录片《我的美食向导》最后两集看完。今日午餐：咸猪蹄炖黄豆、洋葱炒鸡蛋、木耳炒大白菜、鱼圆味噌汤。明天半仙开始上班了。香草家的餐桌日常剧,0,0,0,0
啊啊啊爸爸你是同性恋啊！你不记得了吗？！,0,0,1,0
snh四十八的成员麦同性恋西皮都好投入好认真，如果我的学习也可以有这份毅力的话,0,0,0,0
爱在大城市《新员工》演员权赫被传言出演即将上映的同性恋剧《爱在大城市》中还有饰演同性恋小说家吴英秀主角的南妍秀和徐俊俊一同出演，即将推出的八集改编剧是基于朴生英最畅销的同名小说改编的，讲述的是韩国首尔的一位年轻同性恋男子他在不断变化的社会中与爱情和友谊斗争,0,0,0,0
CC的碎碎叨叨不知道我的列表有没有玩儿到《决战拜年之巅》这个和ai对话的小游戏的，非常适合发疯，配图是我学习到的一些发疯技巧作为用来满足狂怼亲戚的幻想情绪应该是很有趣了，我琢磨出来的女生通关法门：做小三同性恋能绝杀大部分亲戚，不过maybe也能开发出另一种温情向玩法？其实玩儿到妈妈环节的时候我一度有点狠不下心玩梗怼人，因为我真的很爱我妈妈哦但这个游戏其实也是很简单粗暴的将许多矛盾归因，将现实中最真实最露骨最伤人的部分整合出来，提供给玩家将其戏谑化面对，让人发笑的同时，通过这种代偿发泄，有了一些面对生活的勇气,1,0,1,0
韩BL新剧【LoveInTheBigCity大城市的爱情】即将上线预计年第三季度播出，总集数一共集。剧情简介讲述关于两个室友的故事，一个是同性恋男人，另一个是异性恋女人，通过美爱的眼睛，开始了高英笨拙的爱情故事。一个否认自己性別身份的母亲和一个无法逃避社会评判的情人之间的欢笑、泪水和创伤。高英终于遇到了独一无二的真爱圭浩，但别无选择，只能让他走。随着圭浩的离去，高英跟随一个陌生人来到泰国，度过了一个持到的季风假期。追忆那些再也无法找回的美好时光，他实现了完全的个人成长。,0,0,0,0
【】卧槽哥哥怪不得你怎么样都不说爱我呢原来你是个同性恋我真崩溃了我真哭了哥哥,1,1,1,0
一群比同性恋天天看那个我是歌手,1,1,0,0
你就保持住你的警备心，继续孤高自傲吧，不交同性恋朋友，就跟着你的那些土鳖猥琐吮指朋友傻乐着过去吧。,1,1,1,1
我真的服了我一个表姐，她有我朋友圈还关注我dy了，天天和我爷爷奶奶七大姑八大姨说我是同性恋。我今年回去必闹。我本来还想着爷爷奶奶安稳的走了，我回去要问问看这个碎嘴表姐有没有多嘴和爷爷奶奶讲。,0,1,1,0
看到祝遥和刘瑜是队友站在一起的时候我满脑子都是同性恋果然是遗传,0,1,1,0
superlady好适合好冰两口子完全同性恋之歌,0,0,1,0
您了解您的男儿子吗屁股里面塞人头，黑男吊下也风流您知道吗非“同性恋”的男儿子，也会有同性性行为您了解您的男儿子吗他们以在肠道畸疤培养艾滋病毒和猴痘为荣为保证您和您家人的身心健康，请及时骟除您的男儿子,1,1,1,0
哪些人是艾滋病高风险人群？同性恋吧，还有就是娱乐圈一些玩的的。。。。尤其爆过同性恋情，不回应的娱乐圈的明星like肖X,1,1,1,0
看第一段是好生气啊！看第二段是啊我被骗了？看第三段是怎么才能改变社会对lgbt的偏见呢？第一段在生气的同时也觉得剧情有些沉闷拖沓，真相慢慢揭开时才发现满满都是细节，是枝裕和还是厉害的（其实坂元裕二编剧才是我毫不犹豫打开这部片子的原因）。片尾响起的曲子太有情绪的延续了，听完才算是整个影片的落幕，查ost发现是坂本龙一，还是厉害啊3/52,0,0,1,0
爱情无关性别这句话真有够搞笑的，不然怎么来的异性恋同性恋啊，就连物种都没法无关，因为有各种恋物癖的分类,0,0,1,1
多看一眼你们异同性恋讨论床事眼睛就会瞎掉我是谈性色变的钟国人,1,1,1,1
其实我的会长男友的副cp线是挺好磕的，但是我只想说请禁止丑人搞同性恋,1,1,1,0
同样是ebidan，同样是演未成年同性恋，有人是是枝裕和，有人是四月东京力。。。,0,0,0,1
同性无罪！真爱不分性别！看完了一本小说，印象最深的一句话是叶蕴仪说的“如果相爱，分开的理由可以是不爱了，不合适，但绝对不要因为性别而分开。”虽说现在有很多人接受同性恋，甚至自己就是一名同性恋，也有一部分秉持着不理解但尊重的态度，可现实中绝大部分人对同性恋的态度是不解、是厌恶、是痛恨、是谩骂。可人们不是常说真爱无罪吗？喜欢同性难道是罪吗？对我而言那明明是真爱啊只希望终有一日，所有的爱情都可以窥见天光,0,0,1,0
法国总统埃马纽埃尔马克龙任命加布里埃尔阿塔尔为总理。他接替了周一辞职的伊丽莎白博尔内（ElisabethBorne）。这位34岁的年轻人是马克龙先生的盟友，马克龙希望在月欧洲大选前重振其政党日渐式微的命运。阿塔尔先生将成为法国第一位公开的同性恋总理，也是法国最年轻的总理。,0,0,0,0
感叹一下，电视剧就有可以大大方方谈性，年轻人对于性的烦恼可以非常轻松愉快的语气聊，谈性侵、同性恋、反社会人格，男女主吵架以后男主一开始会暴躁离开，但是第二天会老实道歉，反省自己的不足，并且立刻付诸实践予以改正，所有这些现在我们国产剧都很难达到就是了。,0,0,0,0
很简单的事，为什么要搞那么多称谓，中文有禁这些词吗世界上就两种性别，说白了就同性恋，我觉得同性恋很正常啊，为什么要搞一大堆别称搞的像暗语一样，给我一种很渺小的事巴不得让别人觉得这是天大的事的感觉,0,0,1,0
从前有个女的，叫刘，揭东新亨人，住丹凤城，在我们这的医院上班，是个同性恋，跟她老公也是假结婚，骗取单位婚姻补贴及福利，实际就是演戏而已，经常利用职务便利偷盗单位的药品，把氨基酸中药针剂等等开在住院病人的药单里，并拿走药品回家给家里输液非法行医，偷偷开过多次红处方安眠药品，还拿单位的医用胶布取卖，每次获利一千多～医学科普据我所知道的就多次，我问她你这样不会被医院查到吗，她说不会，她爸做工地监理的，之前有工地投标，他爸也收人红包让别人中标，我知道的那一次就是块，她身边熟人还有某艾某滋患者～普宁揭阳英歌魂外科医学科普,1,1,0,0
老公我只想和你说1.不准当同性恋。2.不准当异性恋。,1,1,1,1
哈哈你们别骂我老公我老公不是同性恋啊，他就是过年喝多了操了个男的，我们快结婚了你们别瞎说了,0,1,1,1
看到同学独立思考雌竞问题想起初中隔壁班一男的喜欢我为了我跟她女朋友分手（然后我：我是同性恋送葬人ver），他俩分手有我什么错啊说真的，结果那个班的女生都来骂我绿茶小三？集美，从初中开始做小三领先网人好多年，淡淡的，，，,0,0,1,0
bilibili借我去洗牙的视频O我突然成了“罕见w”，我必须要坦白一些事情我笑死！自从萝莉岛的事情发生之后，他们就死抓着很多女权博主不评萝莉岛事件不放，还说我们定义的“性缘脑”只出现了一年并且不包含同性恋、萝莉岛这种，说应该看清发声的这些博主都是收了美国钱的OK谁给我钱啊我想请问哈哈哈哈哈哈哈，又被一群烦透了的男权人（成份还有很多）意淫并扣上屎盆子了,1,1,1,1
还要记录一下昨晚和我妈科普lgbt跟她解释不只有同性恋还有双性恋吧啦吧啦一堆后面我妈以为两个女生只会亲亲抱抱不会doi我说你们异性恋要做的事同性恋也会做啊怎么可能抱着就睡了然后我妈好奇两个女生怎么发生性关系我说你猜一下她果然就猜中了我妈说她也喜欢看抖音美女会不会也有点？我说那不一样不一样啦哈哈哈哈哈太好笑了最后她说她相信也有人生的女儿和我一样生了孩子就是盼望她可以过的开心快乐时代在进步思想在进步这个有什么接受不了的,0,0,0,0
高傲善言的社会绅士和吞吐内向的兽语者，油煎饭哥哥和复仇者妹妹，还有企图一同征服天下的阿克琉斯和帕特罗克勒斯，我已经快被这些同性恋的暗号耍到大脑混乱，唯一能看出的就是一种血腥优雅的示爱，就连这方面也没有违背精致的美学，一起戴着华丽的无惧在黑暗的舞会上深情起舞，虽然狗已经展现出了狼的那一面，但我觉得到这个阶段这两人估计已经做了不知道多少次了,0,0,1,0
有的同性恋不在乎对方有没有钱，开玛莎拉蒂或者比亚迪都无所谓，年龄身材婚姻状态更不在他们的考虑范围内。只要有人跟他们说话给他们爱就足以抵挡一切困难。,0,0,1,1
最近真是邋遢我长得越来越像同性恋了,0,1,1,0
特拉维夫行政法院今天向一名来自约旦河西岸的岁巴勒斯坦男子提供了以色列政治庇护，他因同性恋身份而面临家人和社会的迫害。来源：以色列外交部副发言人YossiZilberman推特柯基语：以色列太博爱太伟大了！巴以冲突以色列称坚决拒绝停火美国空袭伊拉克叙利亚,0,0,0,0
不少小黄鹅怒了，纷纷表示俄罗斯人太欺负人了，小赵千里迢迢为你们卖命，你们好吃的没有招待，好喝的没有款待，这也就算了，为了你们的特别军事行动把命都丢到了乌克兰，最后曝尸荒野，这也就算了，可以你们连抚恤金都没有给，而且还冤枉小赵有性病是同性恋，并且还把性病传染给尼泊尔人，这太过分了吧！,1,1,1,0
那么NicholasFlannery的话，“我就是一直在说野比大雄裔的问题，但是我也跟他们变得差不多了”，因为他约会了太多这样的女人，变得有点像同性恋了。,0,1,1,0
炎亚纶否认爱汪东城这很难评啊～就好像我能接受同性恋，但是如果有同性对我表白我也会抗拒～,0,1,1,0
几乎每个少女都有同性恋的倾向；这种倾向和自我感觉良好的自恋心理几乎没有分别，她从其他女孩身上体会到的是自己让人称羡的柔嫩肌肤、玲珑曲线；相对的，少女的自恋心理多少带有崇拜女性之质的成分。,0,1,0,0
我对看什么访客和取消关注列表没兴趣（这辈子没看过）但是你真的太烦人了，经常大半夜看到粉丝，早上又没了。就那么想看我那几条粉见吗？想和我搞同性恋就直接加我微信哈，我今晚踹了我老公到时候让你排队接上,0,1,1,1
论薛潘，甄薛潘不是同性恋也不是双性恋是甄应可怜！打人是为自己打的吗？不是，但没起到作用，所以祸福自担，就当是为自己打的人吧！,0,0,1,0
王安珍超话男人不坏女人不爱女人不爱哪有下一代。因为他喜欢你，男人不坏，女人不爱。全世界的女人都这样想的，同性恋除外。男人不坏女人不爱，有时候是因为坏男人更有挑战性，让女人想要征服他们。男人不坏，女人不爱，生活少了点浪漫，少了点惊喜。男人不坏，女人不爱，爱情或许需要一点野性和放肆。,0,0,1,0
所以还是得学带英和其他白皮佬明文规定针对给同性恋注射阉割和公开用火烧死，当别人说你系统性迫害同性恋你最好真的合法公开烧死了一堆同性恋，而不是有条同性恋异性恋都能判刑的法律 非顺性别异性恋者在同样的逻辑下多了一条被迫害的理由这就是不平等的体现,1,1,1,1
我操好纯的同性恋,1,1,1,0
刚开始我以为我是真的饿了，现在看来是同性恋牛。,0,0,1,0
我现在面临的主要问题是，肉体上是标准同性恋对男性没有任何世俗的欲望，但情感上喜欢跟性别为男的某个生物进行心灵的贴贴，而产生的灵肉不合一的矛盾，在道德及伦理的约束下：想和女的搞。,0,0,1,0
哎呦我去，看完了《抱抱》，让我很有记忆点的是年代对他们同性恋的不包容和恶意，好看的，温馨但是还有点遗憾，如果他们是在现在这个社会就不会经历那么多坎坷,0,0,0,0
队友是同性恋异性恋都不影响，我公的时候都默认那句经典台词我只是正好爱上你与性别无关,0,0,0,0
好大的扔子好同性恋,1,0,1,0
怎么现生里认识的同性恋都有对象额滴个神，诡秘们我只有你们了啊,0,0,1,0
你们搞同性恋是没有好结果的！自己的人生完蛋了还拉我一起沉沦坏死了你们这群我去婉如你别被骗了,1,1,1,0
同性恋天天在那狗叫啥,1,1,1,0
怎么看死亡笔记都觉得擦脚那一段太同性恋了，同性恋到我幻视现实男同立刻掏出手机报警并掏出一百零八味中药最后发动反同性恋游行,1,1,1,0
男的就得不断招偏财。拿命去挣大钱。挣不了大钱就去献祭去吧，神灵会保佑你的徒子徒孙的。以你一人的性命换来后代的安生。你的后代也会给你烧纸送钱。否则待到那时。两眼一抹黑。去当孤魂野鬼去吧。在阴曹地府你就是同性恋狂欢。,1,1,1,1
骨科同性恋太吓人了好像是要把对方的心脏给活生生撕开把自己按进去才行也不管爱不爱心里必须有也绝对不能被丢下太几把吓人了同性恋真是血淋淋的啊！,1,1,1,0
【彩绘飞机澳大利亚澳洲航空（Qantas）“PrideIsInTheAir”主题彩绘】年涂装悉尼于年月举办悉尼世界骄傲节暨悉尼同性恋狂欢节。VHEBL生产序列号：AirbusA年月日交付澳洲航空彩绘飞机集中营,0,0,0,0
喜欢足球是你们的借口吧老是在球场上挨来碰去又眉目传情打情骂俏的抵制同性恋,1,1,1,0
笑死，为什么选项里还有洛根喊我老公的称呼啊，看得出来你们平等的尊重了每一个性向，平等的对待了异性恋同性恋四爱骨科还有方言和一些奇怪的东西话说洛根真的好主动啊，跟沙石镇七八个人谈了恋爱只有他谈的时间最短但主动求婚了，其他人谈了大半年也没个求婚，尤其是小房也不来找我约会，看看洛根一刻都等不了,0,0,1,0
李明德已经从五个女友断交到只剩两个炮友了，我要相信他，他是下定决心要做同性恋的,0,1,1,1
逼哥后续：在补习班很大声得吐槽他前夫哥好丑（他是个同性恋）,1,1,1,0
520收了不少红包吧，给我发点，不然我就告诉你妈妈你是同性恋,1,1,1,1
天天真的好可爱哈哈哈哈哈哈三只小鸟都好可爱豆豆乐乐两个是同性恋！真的！我服啦,0,0,1,0
你小时候很乖的，会帮妈妈洗衣服做饭，怎么现在这样子了呢为什么会变成同性恋宝贝告诉妈妈，是不是因为在手机上看到不好的东西了是不是因为手机是不是是不是是不是为什么不回答我是不是你怎么会变成同性恋妈妈辛辛苦苦把你养的这么大，你为什么要当同性恋,1,1,1,0
车里朋友和司机讨论车载音乐放的歌的作者是不是同性恋,0,0,0,0
“他们讨厌的并不是男同，而是女性气质”#镜头下的笑容##万物有灵#L看我眼色行事好吧的微博视频,0,1,1,0
经过几天的电疗治好了我的同性恋，请国放心,1,0,0,1
我很不喜欢这种跟同性恋拍照就被默认是同性恋的风气，虽然我也无力改变，但是我很不喜欢。我首先是人，合照的人是我朋友，性取向只是我的标签和一方面，我可以有同性恋朋友也可以有异性恋朋友，无端的揣测别人性取向是一件很没品的事。,0,0,1,0
《安昕容绍聿》（完整全集已完结大结局小说）安昕容绍聿全文阅读笔趣阁前往公众号【度心文阁】回个：安昕，就好了“我们两个怎么不可能？”　　“段小姐你是不是同性恋我不太了解，但是这位小姐，肯定不是。”　　段艾晴瞬间警惕起来：“你怎么知道她不是？她就是！”　　年轻男人忽而笑了，目光直勾勾地看向安昕：“容太太，绍聿知道你是同性恋的事情么？”　　这话一出，安昕和段艾晴都震惊了。　　段艾晴眨了眨眼：“你认识她？”　　年轻男人说了两个关键词：“清吧，同学聚会。”　　安昕突然也觉得眼前这个男人有些眼熟：“你是容绍聿的同学？”　　“你手机掉了，还是我帮你捡起来的，也是你亲口告诉我，你是绍聿的太太。”　　安昕大囧。,0,0,1,0
男挨斗就应该只做会唱歌跳舞的吉祥物逗粉湿开心都来学习男训男戒积极喝西药变成同性恋禁止在公共场合大思考大装逼大谈吐了否则没收性器官,1,1,1,0
姐妹们考虑出来媚下同性恋吗,0,0,1,0
你们同性恋真是该死看个直播在评论区吵架让直播间封了他们封了我看什么不被世人接受都是你们自找的,1,1,1,0
妈呀期待死了真的好想看魏大勋（攻击我之前请先了解我：本人重度抑郁患者，农村人，LGBT群体，丁克族，少数民族，极端女权主义者，素食主义者，动物保护人士，祖上八百代是黑人，咸豆腐脑和甜粽子党，不支持代孕合法，支持同性婚姻合法化。喜欢的明星有吴京，陈道明，韩红，用的是华为手机。下次去骑脸,0,0,0,1
我产两个人线下就是男帅男美的又高身材比例又好说话都是温温柔柔的一对tmd韩国同性恋,0,0,1,0
穷，穷得吓人，穷得尿裤子，穷得小拇指疼，穷得腿抖，穷得便秘，穷得脱发，穷得腱鞘炎，穷得抑郁，穷得焦虑症，穷得同性恋，穷得静脉曲张，穷得三高，穷得长胡子，穷得气血不足，穷得湿气重，穷得手脚无力，穷得面如土色，穷得手脚发麻，穷得甲亢，穷得甲减，穷哭，穷笑，穷得跪地大喊放过我吧天姥姥！,1,1,1,1
继心动实验室寄了跟对皮失联之后我昔日参加jojoonly爱上的女神大瓜条也在小红书上爆了老铁们同性恋已痊愈,1,1,1,0
太过分了！同性恋真是越来越无法无天！同性恋给我全体搬入下水道！,1,1,1,0
最近好像柴静在油管上发视频了，这个名字好几年没有听到了，可以说她的那本《看见》是我的启蒙书，让当时的我想：原来还可以有这种观点，女生的思想可以如此自由那一代新闻人好像是最早碰触中国的敏感题材，白岩松、崔永元，陈氓她采访过08年非典，汶川地震，黑煤窑，同性恋题材，还有在中国大山里做教育的卢安克，虐猫，家暴妇女我还记得那句话“在我们的性文化里，把无知当纯洁，把愚昧当德行，把偏见当原则”20年过去了，物质生活一日千里，那些东西还是仍然如此，甚至我感觉我们这一代是收缩的，完全屈服于现实，并且是彻彻底底的服,0,0,0,0
老公曾经不止一次要我在论证同性恋已经并会再下一层地狱的时候将他除外,1,1,1,0
姐妹看你主页是同性恋我给你发我的裸照可以吗,0,1,1,0
没意思下线看男同性恋小说去了,0,0,1,0
我其实接受不了我老公搞同性恋但是我和金多贤不是这样的你们知道什么是爱情吗,1,1,1,0
其实我一直觉得同性恋是很需要勇气的因为我无数次收到过同性的帮助有一些素不相识的收银员女性会精打细算的告诉我优惠卷的使用方法网络中女性之间总会分享一些互相帮助的小技巧互相借面纸借卫生巾更是一些很普通的事情最重要的是女性的关怀是无私的我曾经有一次在马路上崩溃大哭有一位女性就,0,0,0,0
明星邪淫的真实案例：1.徐志摩邪淫破坏别人家庭，突遭飞机失事，享年35岁。2.美国篮球明星张伯伦邪淫，导致心脏病猝死，享年63岁。3.香港电影明星张国荣拍摄同性恋电影，宣传邪淫导致自己心理不健康，自杀身亡，享年46岁。4.国际功夫巨星李小龙，邪淫导致心脏病，猝死在情人床上，享年32岁。5.金瓶梅中，西门庆并未死在仇人手中，而是死在了纵欲过度上。西门庆与潘金莲在发生关系时暴毙，终年33岁。6.《断臂山》主演希斯·莱杰，宣传同性恋邪淫，导致自己心理焦虑，失眠，服用大量镇静药，抗焦虑药，安眠药，导致心脏病猝死，年仅28岁。7.美国篮球明星科比邪淫，性侵19岁女子遭到起诉。科比公开道歉，女方撤诉，庭外和解。听证会进行的时候，科比妻子瓦妮莎遭遇了流产。直升机意外坠机，享年41岁。另外还有许许多多的朋星邪淫，全部是身败名裂如：陈冠希、罗志祥、陈宝莲等大陆的吴秀波、范冰冰、黄海波、李易峰华人吴亦凡等明星邪淫罪业更重，活着的时候痛苦不堪，身败名裂，死了灵魂堕地狱受苦普通人邪淫也是一样，但凡犯邪淫，一律因果报应来得猛烈，大家一定要遵守本份，千万莫犯邪淫万恶淫为首，发大愿：1.我要彻底断除，所有坏习惯，绝不插足、破坏他人的感情和婚姻；2.在新的一天里，绝不再犯邪淫的行为，绝不再起邪淫的念头；3.祈请各种善能量、善知识加持护佑我；4.此功德回向给，全世界、全宇宙，愿同胞吉祥，社会安定，国家富强。#遇见美好##读书##涨姿势##正能量#,1,1,1,0
即使亲历过生死看开了很多事，也有一些事放不下。比如被同性恋骚扰，被造谣富婆，被质疑技能。但这条路好长，搜集证据到判决基本需要三四年。左右不了别人的想法，只告诉你，我相信你,1,1,1,0
我不谈恋爱我妈以为我是同性恋。神经。,1,1,1,0
同性恋们受死吧,1,1,1,0
受够了国内竟然禁止LGBTQ上映为什么删我ggad的告白我说我两部神奇动物都看完了怎么没看出来官方宣布他俩同性恋,0,0,1,0
你们在说什么 俺们abo的性别数量也紧跟时代潮流 ABO又何尝不是一款狼人杀 好担心厕所问题 等一下等一下 在这种世界观里搞同性恋已经是极其高难的挑战了 笑死引入了少漫战力体系,0,0,1,0
集美这不是我们小树树吧，我们小树树是看起来是同性恋喜欢男人的那种,0,1,1,0
老师我们三笔的同性恋何时可以卖腐了,1,1,1,0
老公不仅是同性恋还在外做,1,1,1,0
同性恋的人生注定艰难,0,0,1,0
找人假结婚平台，找个男人假结婚，现在催婚问题是一个很多大龄剩男剩女的热门话题，平时压力大，过年回家吃年饭还总是被问起有没有谈对象，什么时候结婚啊这样的话题，后来找到了公众号（婚姻百事通）把我的催婚问题解决了，现在得年轻人单身的原因有很多种，对婚姻不抱希望，小三，同性恋，等等，你是因为哪一种没有结婚呢？找人假结婚平台，找个男人假结婚，,0,0,0,0
昨天走了w步。走过摄影博物馆、路过公交车、彩色的凳子、安妮雕塑、同性恋纪念碑、地上祭奠发霉散落的面包走进教堂、蜡烛、火焰走上轮渡,0,0,0,0
首先，不要在文艺作品里找道德；其次，道德准绳或者说公序良俗和社会义务是两回事；最后，没感觉到言语之间的逻辑，背德所带来的情感冲突是合理的文艺矛盾点，是生发于感情，因为同性恋身份特殊化看待本质不还是一种隐性歧视？ 背德爱好者喜欢死了情感冲破理性束缚的明知不可为而为之,0,0,1,0
病入膏肓的同性恋！,1,1,1,0
知己挚友个屁，你们就是同性恋别装了 这么大惊小怪干什么，没看过恐怖片？这么大惊小怪干什么，没看过恐怖片？这么大惊小怪干什么，没看过恐怖片？这么大惊小怪干什么，没看过恐怖片？,1,1,1,1
其实同性恋也有很多土逼,1,1,1,0
啊，跟你弟弟搞同性恋,0,1,1,0
袜子好看吗哈哈我是同性恋我是同性恋农牛同志直男,0,0,1,1
入道之后，经常和我师父有争议。她讲纯阳不生，孤阴不长。搞同性恋是不对的行为。我和她吵，三生万物。万物都是大道演变出来，存在即合理。她讲我读书读傻了，我说她是封建余孽。有时候会迷茫可能自己标新立异，但能确定的是由我传出去的道一定少些封建糟粕。（食神制杀）,0,0,1,0
对我船只有一句祝福异性恋是生活同性恋的工作横批就当是为了我,0,0,1,0
这个世界就是一个巨大的同性恋圈套，理想型的男主就是女作者或者女编剧自己灵魂的投射,1,1,1,1
